idx,boxes,probs
0,"[105, 87, 196, 216]",0.9987068
0,"[578, 91, 638, 174]",0.99989164
0,"[349, 129, 407, 206]",0.9978682
1,"[163, 125, 234, 224]",0.998716
1,"[528, 126, 574, 188]",0.9999926
1,"[350, 155, 396, 215]",0.99979883
2,"[163, 125, 232, 222]",0.99773043
2,"[350, 155, 396, 215]",0.9998455
2,"[530, 128, 574, 189]",0.99939525
3,"[166, 126, 234, 221]",0.9987828
3,"[350, 155, 397, 215]",0.9998752
3,"[530, 127, 574, 190]",0.99934536
4,"[167, 127, 234, 220]",0.99857557
4,"[350, 154, 397, 215]",0.99947697
4,"[530, 129, 573, 190]",0.9996557
5,"[164, 125, 233, 221]",0.9984862
5,"[350, 156, 399, 216]",0.99986553
5,"[530, 128, 573, 189]",0.99934703
6,"[165, 126, 236, 221]",0.999025
6,"[350, 153, 399, 218]",0.99906284
6,"[529, 129, 573, 190]",0.99921966
7,"[173, 125, 236, 220]",0.997521
7,"[350, 154, 398, 216]",0.9994987
7,"[529, 129, 573, 190]",0.9999021
8,"[172, 125, 239, 223]",0.9991973
8,"[351, 154, 398, 215]",0.99984753
8,"[529, 129, 573, 189]",0.999908
9,"[174, 128, 238, 222]",0.9986701
9,"[351, 156, 396, 212]",0.99997437
9,"[530, 130, 573, 190]",0.9998584
10,"[178, 125, 241, 219]",0.9977831
10,"[349, 155, 398, 215]",0.9999647
10,"[529, 129, 573, 189]",0.99980265
11,"[177, 128, 243, 222]",0.99897563
11,"[351, 155, 398, 215]",0.99993956
11,"[531, 129, 574, 190]",0.9999393
12,"[181, 126, 244, 223]",0.9990866
12,"[351, 154, 398, 214]",0.9999831
12,"[532, 129, 575, 190]",0.9999566
13,"[184, 127, 247, 222]",0.9985574
13,"[352, 153, 399, 218]",0.99997306
13,"[531, 127, 574, 190]",0.9998332
14,"[184, 123, 250, 224]",0.9963766
14,"[352, 156, 399, 218]",0.9999726
14,"[532, 128, 574, 189]",0.999485
15,"[182, 123, 248, 220]",0.9989236
15,"[352, 155, 400, 219]",0.99973315
15,"[532, 128, 574, 190]",0.9997633
16,"[190, 127, 258, 227]",0.99863064
16,"[352, 155, 399, 218]",0.999889
16,"[530, 127, 576, 189]",0.9999263
17,"[195, 128, 261, 224]",0.99848527
17,"[352, 155, 400, 217]",0.999982
17,"[532, 127, 576, 190]",0.99990535
18,"[193, 126, 257, 224]",0.99700755
18,"[352, 154, 400, 217]",0.9994468
18,"[530, 127, 575, 189]",0.99990714
19,"[195, 127, 260, 223]",0.9975593
19,"[352, 154, 400, 216]",0.9999609
19,"[532, 127, 575, 189]",0.9998826
20,"[196, 128, 260, 223]",0.99913615
20,"[352, 154, 400, 216]",0.9999534
20,"[532, 127, 575, 189]",0.99988747
21,"[204, 129, 266, 224]",0.9945873
21,"[353, 154, 399, 217]",0.9999852
21,"[531, 126, 577, 190]",0.9999485
22,"[202, 129, 265, 222]",0.9983651
22,"[352, 154, 400, 217]",0.9999839
22,"[531, 126, 576, 190]",0.99994206
22,"[161, 76, 195, 125]",0.9616635
23,"[206, 131, 267, 221]",0.9988833
23,"[352, 155, 399, 216]",0.99998105
23,"[531, 126, 576, 190]",0.99993646
23,"[160, 75, 195, 126]",0.94917464
24,"[205, 134, 268, 221]",0.99948657
24,"[352, 152, 400, 217]",0.9999938
24,"[531, 126, 576, 190]",0.9999312
25,"[204, 129, 267, 225]",0.99879956
25,"[351, 153, 399, 216]",0.99999475
25,"[531, 126, 576, 190]",0.9999299
26,"[203, 127, 270, 228]",0.99893945
26,"[352, 154, 399, 216]",0.9999919
26,"[531, 126, 576, 190]",0.9999268
26,"[163, 79, 196, 127]",0.9496232
27,"[207, 130, 270, 222]",0.99840766
27,"[351, 154, 399, 216]",0.99999344
27,"[532, 128, 576, 189]",0.9998965
27,"[162, 75, 197, 130]",0.9703179
28,"[210, 131, 271, 223]",0.9993789
28,"[352, 154, 399, 217]",0.999992
28,"[532, 129, 575, 190]",0.99990237
28,"[161, 76, 196, 132]",0.97883135
29,"[207, 127, 274, 225]",0.9992403
29,"[353, 154, 398, 215]",0.99870896
29,"[532, 130, 575, 191]",0.9999434
29,"[159, 74, 196, 135]",0.994476
30,"[212, 130, 272, 220]",0.99741095
